Tempo(s),PWM_Aplicado(%),RPM_M1_Raw,RPM_M1_Filt
0.9200,0,0.00,0.00
0.9250,0,0.00,0.00
0.9300,0,0.00,0.00
0.9350,0,0.00,0.00
0.9400,0,0.00,0.00
0.9450,0,0.00,0.00
0.9500,0,0.00,0.00
0.9550,0,0.00,0.00
0.9600,0,0.00,0.00
0.9650,0,0.00,0.00
0.9700,0,0.00,0.00
0.9750,0,0.00,0.00
0.9800,0,0.00,0.00
0.9850,0,0.00,0.00
0.9900,0,0.00,0.00
0.9950,0,0.00,0.00
1.0000,0,0.00,0.00
1.0050,0,0.00,0.00
1.0100,0,0.00,0.00
1.0150,0,0.00,0.00
1.0200,0,0.00,0.00
1.0250,0,0.00,0.00
1.0300,0,0.00,0.00
1.0350,0,0.00,0.00
1.0400,0,0.00,0.00
1.0450,0,0.00,0.00
1.0500,0,0.00,0.00
1.0550,0,0.00,0.00
1.0600,0,0.00,0.00
1.0650,0,0.00,0.00
1.0700,0,0.00,0.00
1.0750,0,0.00,0.00
1.0800,0,0.00,0.00
1.0850,0,0.00,0.00
1.0900,0,0.00,0.00
1.0950,0,0.00,0.00
1.1000,0,0.00,0.00
1.1050,0,0.00,0.00
1.1100,0,0.00,0.00
1.1150,0,0.00,0.00
1.1200,0,0.00,0.00
1.1250,0,0.00,0.00
1.1300,0,0.00,0.00
1.1350,0,0.00,0.00
1.1400,0,0.00,0.00
1.1450,0,0.00,0.00
1.1500,0,0.00,0.00
1.1550,0,0.00,0.00
1.1600,0,0.00,0.00
1.1650,0,0.00,0.00
1.1700,0,0.00,0.00
1.1750,0,0.00,0.00
1.1800,0,0.00,0.00
1.1850,0,0.00,0.00
1.1900,0,0.00,0.00
1.1950,0,0.00,0.00
1.2000,0,0.00,0.00
1.2050,0,0.00,0.00
1.2100,0,0.00,0.00
1.2150,0,0.00,0.00
1.2200,0,0.00,0.00
1.2250,0,0.00,0.00
1.2300,0,0.00,0.00
1.2350,0,0.00,0.00
1.2400,0,0.00,0.00
1.2450,0,0.00,0.00
1.2500,0,0.00,0.00
1.2550,0,0.00,0.00
1.2600,0,0.00,0.00
1.2650,0,0.00,0.00
1.2700,0,0.00,0.00
1.2750,0,0.00,0.00
1.2800,0,0.00,0.00
1.2850,0,0.00,0.00
1.2900,0,0.00,0.00
1.2950,0,0.00,0.00
1.3000,0,0.00,0.00
1.3050,0,0.00,0.00
1.3100,0,0.00,0.00
1.3150,0,0.00,0.00
1.3200,0,0.00,0.00
1.3250,0,0.00,0.00
1.3300,0,0.00,0.00
1.3350,0,0.00,0.00
1.3400,0,0.00,0.00
1.3450,0,0.00,0.00
1.3500,0,0.00,0.00
1.3550,0,0.00,0.00
1.3600,0,0.00,0.00
1.3650,0,0.00,0.00
1.3700,0,0.00,0.00
1.3750,0,0.00,0.00
1.3800,0,0.00,0.00
1.3850,0,0.00,0.00
1.3900,0,0.00,0.00
1.3950,0,0.00,0.00
1.4000,0,0.00,0.00
1.4050,0,0.00,0.00
1.4100,0,0.00,0.00
1.4150,0,0.00,0.00
1.4200,0,0.00,0.00
1.4250,0,0.00,0.00
1.4300,0,0.00,0.00
1.4350,0,0.00,0.00
1.4400,0,0.00,0.00
1.4450,0,0.00,0.00
1.4500,0,0.00,0.00
1.4550,0,0.00,0.00
1.4600,0,0.00,0.00
1.4650,0,0.00,0.00
1.4700,0,0.00,0.00
1.4750,0,0.00,0.00
1.4800,0,0.00,0.00
1.4850,0,0.00,0.00
1.4900,0,0.00,0.00
1.4950,0,0.00,0.00
1.5000,0,0.00,0.00
1.5050,0,0.00,0.00
1.5100,0,0.00,0.00
1.5150,0,0.00,0.00
1.5200,0,0.00,0.00
1.5250,0,0.00,0.00
1.5300,0,0.00,0.00
1.5350,0,0.00,0.00
1.5400,0,0.00,0.00
1.5450,0,0.00,0.00
1.5500,0,0.00,0.00
1.5550,0,0.00,0.00
1.5600,0,0.00,0.00
1.5650,0,0.00,0.00
1.5700,0,0.00,0.00
1.5750,0,0.00,0.00
1.5800,0,0.00,0.00
1.5850,0,0.00,0.00
1.5900,0,0.00,0.00
1.5950,0,0.00,0.00
1.6000,0,0.00,0.00
1.6050,0,0.00,0.00
1.6100,0,0.00,0.00
1.6150,0,0.00,0.00
1.6200,0,0.00,0.00
1.6250,0,0.00,0.00
1.6300,0,0.00,0.00
1.6350,0,0.00,0.00
1.6400,0,0.00,0.00
1.6450,0,0.00,0.00
1.6500,0,0.00,0.00
1.6550,0,0.00,0.00
1.6600,0,0.00,0.00
1.6650,0,0.00,0.00
1.6700,0,0.00,0.00
1.6750,0,0.00,0.00
1.6800,0,0.00,0.00
1.6850,0,0.00,0.00
1.6900,0,0.00,0.00
1.6950,0,0.00,0.00
1.7000,0,0.00,0.00
1.7050,0,0.00,0.00
1.7100,0,0.00,0.00
1.7150,0,0.00,0.00
1.7200,0,0.00,0.00
1.7250,0,0.00,0.00
1.7300,0,0.00,0.00
1.7350,0,0.00,0.00
1.7400,0,0.00,0.00
1.7450,0,0.00,0.00
1.7500,0,0.00,0.00
1.7550,0,0.00,0.00
1.7600,0,0.00,0.00
1.7650,0,0.00,0.00
1.7700,0,0.00,0.00
1.7750,0,0.00,0.00
1.7800,0,0.00,0.00
1.7850,0,0.00,0.00
1.7900,0,0.00,0.00
1.7950,0,0.00,0.00
1.8000,0,0.00,0.00
1.8050,0,0.00,0.00
1.8100,0,0.00,0.00
1.8150,0,0.00,0.00
1.8200,0,0.00,0.00
1.8250,0,0.00,0.00
1.8300,0,0.00,0.00
1.8350,0,0.00,0.00
1.8400,0,0.00,0.00
1.8450,0,0.00,0.00
1.8500,0,0.00,0.00
1.8550,0,0.00,0.00
1.8600,0,0.00,0.00
1.8650,0,0.00,0.00
1.8700,0,0.00,0.00
1.8750,0,0.00,0.00
1.8800,0,0.00,0.00
1.8850,0,0.00,0.00
1.8900,0,0.00,0.00
1.8950,0,0.00,0.00
1.9000,0,0.00,0.00
1.9050,0,0.00,0.00
1.9100,0,0.00,0.00
1.9150,0,0.00,0.00
1.9200,0,0.00,0.00
1.9250,0,0.00,0.00
1.9300,0,0.00,0.00
1.9350,0,0.00,0.00
1.9400,0,0.00,0.00
1.9450,0,0.00,0.00
1.9500,0,0.00,0.00
1.9550,0,0.00,0.00
1.9600,0,0.00,0.00
1.9650,0,0.00,0.00
1.9700,0,0.00,0.00
1.9750,0,0.00,0.00
1.9800,0,0.00,0.00
1.9850,0,0.00,0.00
1.9900,0,0.00,0.00
1.9950,0,0.00,0.00
2.0000,0,0.00,0.00
2.0050,0,0.00,0.00
2.0100,0,0.00,0.00
2.0150,0,0.00,0.00
2.0200,0,0.00,0.00
2.0250,0,0.00,0.00
2.0300,0,0.00,0.00
2.0350,0,0.00,0.00
2.0400,0,0.00,0.00
2.0450,0,0.00,0.00
2.0500,0,0.00,0.00
2.0550,0,0.00,0.00
2.0600,0,0.00,0.00
2.0650,0,0.00,0.00
2.0700,0,0.00,0.00
2.0750,0,0.00,0.00
2.0800,0,0.00,0.00
2.0850,0,0.00,0.00
2.0900,0,0.00,0.00
2.0950,0,0.00,0.00
2.1000,0,0.00,0.00
2.1050,0,0.00,0.00
2.1100,0,0.00,0.00
2.1150,0,0.00,0.00
2.1200,0,0.00,0.00
2.1250,0,0.00,0.00
2.1300,0,0.00,0.00
2.1350,0,0.00,0.00
2.1400,0,0.00,0.00
2.1450,0,0.00,0.00
2.1500,0,0.00,0.00
2.1550,0,0.00,0.00
2.1600,0,0.00,0.00
2.1650,0,0.00,0.00
2.1700,0,0.00,0.00
2.1750,0,0.00,0.00
2.1800,0,0.00,0.00
2.1850,0,0.00,0.00
2.1900,0,0.00,0.00
2.1950,0,0.00,0.00
2.2000,0,0.00,0.00
2.2050,0,0.00,0.00
2.2100,0,0.00,0.00
2.2150,0,0.00,0.00
2.2200,0,0.00,0.00
2.2250,0,0.00,0.00
2.2300,0,0.00,0.00
2.2350,0,0.00,0.00
2.2400,0,0.00,0.00
2.2450,0,0.00,0.00
2.2500,0,0.00,0.00
2.2550,0,0.00,0.00
2.2600,0,0.00,0.00
2.2650,0,0.00,0.00
2.2700,0,0.00,0.00
2.2750,0,0.00,0.00
2.2800,0,0.00,0.00
2.2850,0,0.00,0.00
2.2900,0,0.00,0.00
2.2950,0,0.00,0.00
2.3000,0,0.00,0.00
2.3050,0,0.00,0.00
2.3100,0,0.00,0.00
2.3150,0,0.00,0.00
2.3200,0,0.00,0.00
2.3250,0,0.00,0.00
2.3300,0,0.00,0.00
2.3350,0,0.00,0.00
2.3400,0,0.00,0.00
2.3450,0,0.00,0.00
2.3500,0,0.00,0.00
2.3550,0,0.00,0.00
2.3600,0,0.00,0.00
2.3650,0,0.00,0.00
2.3700,0,0.00,0.00
2.3750,0,0.00,0.00
2.3800,0,0.00,0.00
2.3850,0,0.00,0.00
2.3900,0,0.00,0.00
2.3950,0,0.00,0.00
2.4000,0,0.00,0.00
