Tempo(s),PWM_Aplicado(%),RPM_M1_Bruto,RPM_M1_Filtrado
1.6550,0,0.00,0.00
1.6600,0,0.00,0.00
1.6650,0,0.00,0.00
1.6700,0,0.00,0.00
1.6750,0,0.00,0.00
1.6800,0,0.00,0.00
1.6850,0,0.00,0.00
1.6900,0,0.00,0.00
1.6950,0,0.00,0.00
1.7000,0,0.00,0.00
1.7050,0,0.00,0.00
1.7100,0,0.00,0.00
1.7150,0,0.00,0.00
1.7200,0,0.00,0.00
1.7250,0,0.00,0.00
1.7300,0,0.00,0.00
1.7350,0,0.00,0.00
1.7400,0,0.00,0.00
1.7450,0,0.00,0.00
1.7500,0,0.00,0.00
1.7550,0,0.00,0.00
1.7600,0,0.00,0.00
1.7650,0,0.00,0.00
1.7700,0,0.00,0.00
1.7750,0,0.00,0.00
1.7800,0,0.00,0.00
1.7850,0,0.00,0.00
1.7900,0,0.00,0.00
1.7950,0,0.00,0.00
1.8000,0,0.00,0.00
1.8050,0,0.00,0.00
1.8100,0,0.00,0.00
1.8150,0,0.00,0.00
1.8200,0,0.00,0.00
1.8250,0,0.00,0.00
1.8300,0,0.00,0.00
1.8350,0,0.00,0.00
1.8400,0,0.00,0.00
1.8450,0,0.00,0.00
1.8500,0,0.00,0.00
1.8550,0,0.00,0.00
1.8600,0,0.00,0.00
1.8650,0,0.00,0.00
1.8700,0,0.00,0.00
1.8750,0,0.00,0.00
1.8800,0,0.00,0.00
1.8850,0,0.00,0.00
1.8900,0,0.00,0.00
1.8950,0,0.00,0.00
1.9000,0,0.00,0.00
1.9050,0,0.00,0.00
1.9100,0,0.00,0.00
1.9150,0,0.00,0.00
1.9200,0,0.00,0.00
1.9250,0,0.00,0.00
1.9300,0,0.00,0.00
1.9350,0,0.00,0.00
1.9400,0,0.00,0.00
1.9450,0,0.00,0.00
1.9500,0,0.00,0.00
1.9550,0,0.00,0.00
1.9600,0,0.00,0.00
1.9650,0,0.00,0.00
1.9700,0,0.00,0.00
1.9750,0,0.00,0.00
1.9800,0,0.00,0.00
1.9850,0,0.00,0.00
1.9900,0,0.00,0.00
1.9950,0,0.00,0.00
2.0000,0,0.00,0.00
2.0050,0,0.00,0.00
2.0100,0,0.00,0.00
2.0150,0,0.00,0.00
2.0200,0,0.00,0.00
2.0250,0,0.00,0.00
2.0300,0,0.00,0.00
2.0350,0,0.00,0.00
2.0400,0,0.00,0.00
2.0450,0,0.00,0.00
2.0500,0,0.00,0.00
2.0550,0,0.00,0.00
2.0600,0,0.00,0.00
2.0650,0,0.00,0.00
2.0700,0,0.00,0.00
2.0750,0,0.00,0.00
2.0800,0,0.00,0.00
2.0850,0,0.00,0.00
2.0900,0,0.00,0.00
2.0950,0,0.00,0.00
2.1000,0,0.00,0.00
2.1050,0,0.00,0.00
2.1100,0,0.00,0.00
2.1150,0,0.00,0.00
2.1200,0,0.00,0.00
2.1250,0,0.00,0.00
2.1300,0,0.00,0.00
2.1350,0,0.00,0.00
2.1400,0,0.00,0.00
2.1450,0,0.00,0.00
2.1500,0,0.00,0.00
2.1550,0,0.00,0.00
2.1600,0,0.00,0.00
2.1650,0,0.00,0.00
2.1700,0,0.00,0.00
2.1750,0,0.00,0.00
2.1800,0,0.00,0.00
2.1850,0,0.00,0.00
2.1900,0,0.00,0.00
2.1950,0,0.00,0.00
2.2000,0,0.00,0.00
2.2050,0,0.00,0.00
2.2100,0,0.00,0.00
2.2150,0,0.00,0.00
2.2200,0,0.00,0.00
2.2250,0,0.00,0.00
2.2300,0,0.00,0.00
2.2350,0,0.00,0.00
2.2400,0,0.00,0.00
2.2450,0,0.00,0.00
2.2500,0,0.00,0.00
2.2550,0,0.00,0.00
2.2600,0,0.00,0.00
2.2650,0,0.00,0.00
2.2700,0,0.00,0.00
2.2750,0,0.00,0.00
2.2800,0,0.00,0.00
2.2850,0,0.00,0.00
2.2900,0,0.00,0.00
2.2950,0,0.00,0.00
2.3000,0,0.00,0.00
2.3050,0,0.00,0.00
2.3100,0,0.00,0.00
2.3150,0,0.00,0.00
2.3200,0,0.00,0.00
2.3250,0,0.00,0.00
2.3300,0,0.00,0.00
2.3350,0,0.00,0.00
2.3400,0,0.00,0.00
2.3450,0,0.00,0.00
2.3500,0,0.00,0.00
2.3550,0,0.00,0.00
2.3600,0,0.00,0.00
2.3650,0,0.00,0.00
2.3700,0,0.00,0.00
2.3750,0,0.00,0.00
2.3800,0,0.00,0.00
2.3850,0,0.00,0.00
2.3900,0,0.00,0.00
2.3950,0,0.00,0.00
2.4000,0,0.00,0.00
2.4050,0,0.00,0.00
2.4100,0,0.00,0.00
2.4150,0,0.00,0.00
2.4200,0,0.00,0.00
2.4250,0,0.00,0.00
2.4300,0,0.00,0.00
2.4350,0,0.00,0.00
2.4400,0,0.00,0.00
2.4450,0,0.00,0.00
2.4500,0,0.00,0.00
2.4550,0,0.00,0.00
2.4600,0,0.00,0.00
2.4650,0,0.00,0.00
2.4700,0,0.00,0.00
2.4750,0,0.00,0.00
2.4800,0,0.00,0.00
2.4850,0,0.00,0.00
2.4900,0,0.00,0.00
2.4950,0,0.00,0.00
2.5000,0,0.00,0.00
2.5050,0,0.00,0.00
2.5100,0,0.00,0.00
2.5150,0,0.00,0.00
2.5200,0,0.00,0.00
2.5250,0,0.00,0.00
2.5300,0,0.00,0.00
2.5350,0,0.00,0.00
2.5400,0,0.00,0.00
2.5450,0,0.00,0.00
2.5500,0,0.00,0.00
2.5550,0,0.00,0.00
2.5600,0,0.00,0.00
2.5650,0,0.00,0.00
2.5700,0,0.00,0.00
2.5750,0,0.00,0.00
2.5800,0,0.00,0.00
2.5850,0,0.00,0.00
2.5900,0,0.00,0.00
2.5950,0,0.00,0.00
2.6000,0,0.00,0.00
2.6050,0,0.00,0.00
2.6100,0,0.00,0.00
2.6150,0,0.00,0.00
2.6200,0,0.00,0.00
2.6250,0,0.00,0.00
2.6300,0,0.00,0.00
2.6350,0,0.00,0.00
2.6400,0,0.00,0.00
2.6450,0,0.00,0.00
2.6500,0,0.00,0.00
2.6550,0,0.00,0.00
2.6600,0,0.00,0.00
2.6650,0,0.00,0.00
2.6700,0,0.00,0.00
2.6750,0,0.00,0.00
2.6800,0,0.00,0.00
2.6850,0,0.00,0.00
2.6900,0,0.00,0.00
2.6950,0,0.00,0.00
2.7000,0,0.00,0.00
2.7050,0,0.00,0.00
2.7100,0,0.00,0.00
2.7150,0,0.00,0.00
2.7200,0,0.00,0.00
2.7250,0,0.00,0.00
2.7300,0,0.00,0.00
2.7350,0,0.00,0.00
2.7400,0,0.00,0.00
2.7450,0,0.00,0.00
2.7500,0,0.00,0.00
2.7550,0,0.00,0.00
2.7600,0,0.00,0.00
2.7650,0,0.00,0.00
2.7700,0,0.00,0.00
2.7750,0,0.00,0.00
2.7800,0,0.00,0.00
2.7850,0,0.00,0.00
2.7900,0,0.00,0.00
2.7950,0,0.00,0.00
2.8000,0,0.00,0.00
2.8050,0,0.00,0.00
2.8100,0,0.00,0.00
2.8150,0,0.00,0.00
2.8200,0,0.00,0.00
2.8250,0,0.00,0.00
2.8300,0,0.00,0.00
2.8350,0,0.00,0.00
2.8400,0,0.00,0.00
2.8450,0,0.00,0.00
2.8500,0,0.00,0.00
2.8550,0,0.00,0.00
2.8600,0,0.00,0.00
2.8650,0,0.00,0.00
2.8700,0,0.00,0.00
2.8750,0,0.00,0.00
2.8800,0,0.00,0.00
2.8850,0,0.00,0.00
2.8900,0,0.00,0.00
2.8950,0,0.00,0.00
2.9000,0,0.00,0.00
2.9050,0,0.00,0.00
2.9100,0,0.00,0.00
2.9150,0,0.00,0.00
2.9200,0,0.00,0.00
2.9250,0,0.00,0.00
2.9300,0,0.00,0.00
2.9350,0,0.00,0.00
2.9400,0,0.00,0.00
2.9450,0,0.00,0.00
2.9500,0,0.00,0.00
2.9550,0,0.00,0.00
2.9600,0,0.00,0.00
2.9650,0,0.00,0.00
2.9700,0,0.00,0.00
2.9750,0,0.00,0.00
2.9800,0,0.00,0.00
2.9850,0,0.00,0.00
2.9900,0,0.00,0.00
2.9950,0,0.00,0.00
3.0000,0,0.00,0.00
3.0050,10,0.00,0.00
3.0100,10,0.00,0.00
3.0150,10,0.00,0.00
3.0200,10,0.00,0.00
3.0250,10,0.00,0.00
3.0300,10,0.00,0.00
3.0350,10,0.00,0.00
3.0400,10,0.00,0.00
3.0450,10,0.00,0.00
3.0500,10,0.00,0.00
3.0550,10,0.00,0.00
3.0600,10,0.00,0.00
3.0650,10,0.00,0.00
3.0700,10,0.00,0.00
3.0750,10,0.00,0.00
3.0800,10,0.00,0.00
3.0850,10,0.00,0.00
3.0900,10,0.00,0.00
3.0950,10,0.00,0.00
3.1000,10,0.00,0.00
3.1050,10,0.00,0.00
3.1100,10,0.00,0.00
3.1150,10,0.00,0.00
3.1200,10,0.00,0.00
3.1250,10,0.00,0.00
3.1300,10,0.00,0.00
3.1350,10,0.00,0.00
3.1400,10,0.00,0.00
3.1450,10,0.00,0.00
3.1500,10,0.00,0.00
3.1550,10,0.00,0.00
3.1600,10,0.00,0.00
3.1650,10,0.00,0.00
3.1700,10,0.00,0.00
3.1750,10,0.00,0.00
3.1800,10,0.00,0.00
3.1850,10,0.00,0.00
3.1900,10,0.00,0.00
3.1950,10,0.00,0.00
3.2000,10,0.00,0.00
3.2050,10,0.00,0.00
3.2100,10,0.00,0.00
3.2150,10,0.00,0.00
3.2200,10,0.00,0.00
3.2250,10,0.00,0.00
3.2300,10,0.00,0.00
3.2350,10,0.00,0.00
3.2400,10,0.00,0.00
3.2450,10,0.00,0.00
3.2500,10,0.00,0.00
3.2550,10,0.00,0.00
3.2600,10,0.00,0.00
3.2650,10,0.00,0.00
3.2700,10,0.00,0.00
3.2750,10,0.00,0.00
3.2800,10,0.00,0.00
3.2850,10,0.00,0.00
3.2900,10,0.00,0.00
3.2950,10,0.00,0.00
3.3000,10,0.00,0.00
3.3050,10,0.00,0.00
3.3100,10,0.00,0.00
3.3150,10,0.00,0.00
3.3200,10,0.00,0.00
3.3250,10,0.00,0.00
3.3300,10,0.00,0.00
3.3350,10,0.00,0.00
3.3400,10,0.00,0.00
3.3450,10,0.00,0.00
3.3500,10,0.00,0.00
3.3550,10,0.00,0.00
3.3600,10,0.00,0.00
3.3650,10,0.00,0.00
3.3700,10,0.00,0.00
3.3750,10,0.00,0.00
3.3800,10,0.00,0.00
3.3850,10,0.00,0.00
3.3900,10,0.00,0.00
3.3950,10,0.00,0.00
3.4000,10,0.00,0.00
3.4050,10,0.00,0.00
3.4100,10,0.00,0.00
3.4150,10,0.00,0.00
3.4200,10,0.00,0.00
3.4250,10,0.00,0.00
3.4300,10,0.00,0.00
3.4350,10,0.00,0.00
3.4400,10,0.00,0.00
3.4450,10,0.00,0.00
3.4500,10,0.00,0.00
3.4550,10,0.00,0.00
3.4600,10,0.00,0.00
3.4650,10,0.00,0.00
3.4700,10,0.00,0.00
3.4750,10,0.00,0.00
3.4800,10,0.00,0.00
3.4850,10,0.00,0.00
3.4900,10,0.00,0.00
3.4950,10,0.00,0.00
3.5000,10,0.00,0.00
3.5050,10,0.00,0.00
3.5100,10,0.00,0.00
3.5150,10,0.00,0.00
3.5200,10,0.00,0.00
3.5250,10,0.00,0.00
3.5300,10,0.00,0.00
3.5350,10,0.00,0.00
3.5400,10,0.00,0.00
3.5450,10,0.00,0.00
3.5500,10,0.00,0.00
3.5550,10,0.00,0.00
3.5600,10,0.00,0.00
3.5650,10,0.00,0.00
3.5700,10,0.00,0.00
3.5750,10,0.00,0.00
3.5800,10,0.00,0.00
3.5850,10,0.00,0.00
3.5900,10,0.00,0.00
3.5950,10,0.00,0.00
3.6000,10,0.00,0.00
3.6050,10,0.00,0.00
3.6100,10,0.00,0.00
3.6150,10,0.00,0.00
3.6200,10,0.00,0.00
3.6250,10,0.00,0.00
3.6300,10,0.00,0.00
3.6350,10,0.00,0.00
3.6400,10,0.00,0.00
3.6450,10,0.00,0.00
3.6500,10,0.00,0.00
3.6550,10,0.00,0.00
3.6600,10,0.00,0.00
3.6650,10,0.00,0.00
3.6700,10,0.00,0.00
3.6750,10,0.00,0.00
3.6800,10,0.00,0.00
3.6850,10,0.00,0.00
3.6900,10,0.00,0.00
3.6950,10,0.00,0.00
3.7000,10,0.00,0.00
3.7050,10,0.00,0.00
3.7100,10,0.00,0.00
3.7150,10,0.00,0.00
3.7200,10,0.00,0.00
3.7250,10,0.00,0.00
3.7300,10,0.00,0.00
3.7350,10,0.00,0.00
3.7400,10,0.00,0.00
3.7450,10,0.00,0.00
3.7500,10,0.00,0.00
3.7550,10,0.00,0.00
3.7600,10,0.00,0.00
3.7650,10,0.00,0.00
3.7700,10,0.00,0.00
3.7750,10,0.00,0.00
3.7800,10,0.00,0.00
3.7850,10,0.00,0.00
3.7900,10,0.00,0.00
3.7950,10,0.00,0.00
3.8000,10,0.00,0.00
3.8050,10,0.00,0.00
3.8100,10,0.00,0.00
3.8150,10,0.00,0.00
3.8200,10,0.00,0.00
3.8250,10,0.00,0.00
3.8300,10,0.00,0.00
3.8350,10,0.00,0.00
3.8400,10,0.00,0.00
3.8450,10,0.00,0.00
3.8500,10,0.00,0.00
3.8550,10,0.00,0.00
3.8600,10,0.00,0.00
3.8650,10,0.00,0.00
3.8700,10,0.00,0.00
3.8750,10,0.00,0.00
3.8800,10,0.00,0.00
3.8850,10,0.00,0.00
3.8900,10,0.00,0.00
3.8950,10,0.00,0.00
3.9000,10,0.00,0.00
3.9050,10,0.00,0.00
3.9100,10,0.00,0.00
3.9150,10,0.00,0.00
3.9200,10,0.00,0.00
3.9250,10,0.00,0.00
3.9300,10,0.00,0.00
3.9350,10,0.00,0.00
3.9400,10,0.00,0.00
3.9450,10,0.00,0.00
3.9500,10,0.00,0.00
3.9550,10,0.00,0.00
3.9600,10,0.00,0.00
3.9650,10,0.00,0.00
3.9700,10,0.00,0.00
3.9750,10,0.00,0.00
3.9800,10,0.00,0.00
3.9850,10,0.00,0.00
3.9900,10,0.00,0.00
3.9950,10,0.00,0.00
4.0000,10,0.00,0.00
4.0050,10,0.00,0.00
4.0100,10,0.00,0.00
4.0150,10,0.00,0.00
4.0200,10,0.00,0.00
4.0250,10,0.00,0.00
4.0300,10,0.00,0.00
4.0350,10,0.00,0.00
4.0400,10,0.00,0.00
4.0450,10,0.00,0.00
4.0500,10,0.00,0.00
4.0550,10,0.00,0.00
4.0600,10,0.00,0.00
4.0650,10,0.00,0.00
4.0700,10,0.00,0.00
4.0750,10,0.00,0.00
4.0800,10,0.00,0.00
4.0850,10,0.00,0.00
4.0900,10,0.00,0.00
4.0950,10,0.00,0.00
4.1000,10,0.00,0.00
4.1050,10,0.00,0.00
4.1100,10,0.00,0.00
4.1150,10,0.00,0.00
4.1200,10,0.00,0.00
4.1250,10,0.00,0.00
4.1300,10,0.00,0.00
4.1350,10,0.00,0.00
4.1400,10,0.00,0.00
4.1450,10,0.00,0.00
4.1500,10,0.00,0.00
4.1550,10,0.00,0.00
4.1600,10,0.00,0.00
4.1650,10,0.00,0.00
4.1700,10,0.00,0.00
4.1750,10,0.00,0.00
4.1800,10,0.00,0.00
4.1850,10,0.00,0.00
4.1900,10,0.00,0.00
4.1950,10,0.00,0.00
4.2000,10,0.00,0.00
4.2050,10,0.00,0.00
4.2100,10,0.00,0.00
4.2150,10,0.00,0.00
4.2200,10,0.00,0.00
4.2250,10,0.00,0.00
4.2300,10,0.00,0.00
4.2350,10,0.00,0.00
4.2400,10,0.00,0.00
4.2450,10,0.00,0.00
4.2500,10,0.00,0.00
4.2550,10,0.00,0.00
4.2600,10,0.00,0.00
4.2650,10,0.00,0.00
4.2700,10,0.00,0.00
4.2750,10,0.00,0.00
4.2800,10,0.00,0.00
4.2850,10,0.00,0.00
4.2900,10,0.00,0.00
4.2950,10,0.00,0.00
4.3000,10,0.00,0.00
4.3050,10,0.00,0.00
4.3100,10,0.00,0.00
4.3150,10,0.00,0.00
4.3200,10,0.00,0.00
4.3250,10,0.00,0.00
4.3300,10,0.00,0.00
4.3350,10,0.00,0.00
4.3400,10,0.00,0.00
4.3450,10,0.00,0.00
4.3500,10,0.00,0.00
4.3550,10,0.00,0.00
4.3600,10,0.00,0.00
4.3650,10,0.00,0.00
4.3700,10,0.00,0.00
4.3750,10,0.00,0.00
4.3800,10,0.00,0.00
4.3850,10,0.00,0.00
4.3900,10,0.00,0.00
4.3950,10,0.00,0.00
4.4000,10,0.00,0.00
4.4050,10,0.00,0.00
4.4100,10,0.00,0.00
4.4150,10,0.00,0.00
4.4200,10,0.00,0.00
4.4250,10,0.00,0.00
4.4300,10,0.00,0.00
4.4350,10,0.00,0.00
4.4400,10,0.00,0.00
4.4450,10,0.00,0.00
4.4500,10,0.00,0.00
4.4550,10,0.00,0.00
4.4600,10,0.00,0.00
4.4650,10,0.00,0.00
4.4700,10,0.00,0.00
4.4750,10,0.00,0.00
4.4800,10,0.00,0.00
4.4850,10,0.00,0.00
4.4900,10,0.00,0.00
4.4950,10,0.00,0.00
4.5000,10,0.00,0.00
4.5050,10,0.00,0.00
4.5100,10,0.00,0.00
4.5150,10,0.00,0.00
4.5200,10,0.00,0.00
4.5250,10,0.00,0.00
4.5300,10,0.00,0.00
4.5350,10,0.00,0.00
4.5400,10,0.00,0.00
4.5450,10,0.00,0.00
4.5500,10,0.00,0.00
4.5550,10,0.00,0.00
4.5600,10,0.00,0.00
4.5650,10,0.00,0.00
4.5700,10,0.00,0.00
4.5750,10,0.00,0.00
4.5800,10,0.00,0.00
4.5850,10,0.00,0.00
4.5900,10,0.00,0.00
4.5950,10,0.00,0.00
4.6000,10,0.00,0.00
4.6050,10,0.00,0.00
4.6100,10,0.00,0.00
4.6150,10,0.00,0.00
4.6200,10,0.00,0.00
4.6250,10,0.00,0.00
4.6300,10,0.00,0.00
